type;language;license;rightsHolder;accessRights;datasetID;datasetName;institutionCode;parentEventID;informationWithheld;dataGeneralizations;eventID;samplingProtocol;eventDate;eventRemarks;locationID;continent;countryCode;locality;georeferenceRemarks;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;geodeticDatum
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000130;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:000960;dragonfly population count;2016-06-09;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002760;Europe;BE;Laambeekvallei Vijvers Terlaemen;coordinates are centroid of used grid square;51.00110;5.31600;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000131;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:000962;dragonfly population count;2016-06-09;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002756;Europe;BE;Wijvenheide noord;coordinates are centroid of used grid square;51.00110;5.31600;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000132;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:000964;dragonfly population count;2016-06-09;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002757;Europe;BE;Laambeekvallei oost;coordinates are centroid of used grid square;51.00110;5.31600;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000133;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:000966;dragonfly population count;2016-06-10;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002758;Europe;BE;Kolberg Zonderik west;coordinates are centroid of used grid square;50.95617;5.31377;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000134;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:000968;dragonfly population count;2016-06-10;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002759;Europe;BE;Kolberg Zonderik oost;coordinates are centroid of used grid square;50.95617;5.31377;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000140;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:000975;dragonfly population count;2016-06-19;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002742;Europe;BE;Tielenkamp;coordinates are centroid of used grid square;51.27841;4.89975;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000150;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001045;dragonfly population count;2016-06-22;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002738;Europe;BE;Catselt;coordinates are centroid of used grid square;51.00640;5.03116;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000151;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001047;dragonfly population count;2016-06-14;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002738;Europe;BE;Catselt;coordinates are centroid of used grid square;51.00640;5.03116;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000152;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001049;dragonfly population count;2016-06-16;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002738;Europe;BE;Catselt;coordinates are centroid of used grid square;51.00640;5.03116;3536;WGS84
Event;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/crbudg;Meetnetten.be - Population count for dragonflies in Flanders, Belgium;INBO;INBO:MEETNET:VISITID:000153;original locations available upon request;coordinates are generalized from a POLYGON to a UTM 5km grid;INBO:MEETNET:EVENT:001051;dragonfly population count;2016-06-18;data collected in the Gevlekte witsnuitlibel project;INBO:MEETNET:LOCATION:002738;Europe;BE;Catselt;coordinates are centroid of used grid square;51.00640;5.03116;3536;WGS84
